;LPIPS_citi;LPIPS_citiOscuro;LPIPS_patin;LPIPS_patin360;PSNR_citi;PSNR_citiOscuro;PSNR_patin;PSNR_patin360;SSIM_citi;SSIM_citiOscuro;SSIM_patin;SSIM_patin360;tLP100_citi;tLP100_citiOscuro;tLP100_patin;tLP100_patin360;tOF_citi;tOF_citiOscuro;tOF_patin;tOF_patin360
Sample_RSS_2_1_10__1;0.20738083;0.20507714;0.026466137;0.049747813;26.798933;26.887634;36.148293;31.919876;0.76684517;0.7688998;0.9794056;0.9505187;0.9380024;0.98465264;0.15053894;0.4081601;0.26216593;0.25707334;0.27541977;0.4332655
Sample_RSS_2_1_10__2;0.2069905;0.20465162;0.026431896;0.049750455;26.812233;26.901882;36.148003;31.932983;0.7672796;0.7693345;0.97942024;0.9505564;0.89544475;0.93904155;0.14801753;0.39876553;0.26041612;0.2552626;0.2752949;0.4337661
Sample_RSS_2_1_10__3;0.20692115;0.20461613;0.026406886;0.049704026;26.815674;26.90578;36.149723;31.913986;0.7675345;0.7695162;0.97942924;0.95055044;0.88487864;0.9299633;0.14652187;0.40006956;0.2609397;0.25680155;0.2756819;0.43328205
Sample_RSS_2_1_10__4;0.20687006;0.20457554;0.026394388;0.049681827;26.818151;26.908466;36.150673;31.91859;0.76764935;0.7695371;0.9794356;0.9505594;0.8752308;0.92117685;0.14822203;0.39605978;0.2605631;0.2564778;0.27572808;0.43376744
Sample_RSS_2_1_10__5;0.20686202;0.20454095;0.02642113;0.04969677;26.818075;26.908344;36.151756;31.91321;0.7676783;0.7695806;0.9794362;0.9505355;0.8789982;0.9198546;0.14951499;0.39693204;0.2608421;0.25668943;0.2758341;0.43346643
Sample_RSS_2_1_10__6;0.20686105;0.20451926;0.026409768;0.049732264;26.818586;26.908998;36.151638;31.925812;0.76768357;0.76955336;0.979436;0.95056283;0.8745036;0.91702634;0.14951923;0.39531308;0.2603884;0.25614452;0.2762597;0.4340267
Sample_RSS_2_1_10__7;0.20684646;0.20450297;0.026398858;0.049713798;26.819262;26.90965;36.152466;31.922234;0.7677106;0.76957536;0.97944045;0.9505582;0.871925;0.9149582;0.14815083;0.39565137;0.26084456;0.2564208;0.27612427;0.4333764
Sample_RSS_2_1_10__8;0.20683812;0.20449112;0.026394356;0.049658723;26.819864;26.910126;36.15293;31.922066;0.76766914;0.76957357;0.9794435;0.9505653;0.8692849;0.9137051;0.14947;0.394264;0.26062146;0.25662547;0.27600497;0.43384936
Sample_RSS_2_1_10__9;0.20683765;0.2044807;0.026405936;0.04968131;26.819952;26.910225;36.152767;31.92397;0.7676697;0.769579;0.9794436;0.95056695;0.87011635;0.9137346;0.14911075;0.39559716;0.2610473;0.25663644;0.2756881;0.43378335
Sample_RSS_2_1_10__10;0.2068295;0.20446987;0.026400302;0.049674444;26.82036;26.910883;36.152325;31.92567;0.767654;0.76961285;0.97944236;0.9505658;0.8677063;0.9121246;0.14845575;0.39516735;0.260253;0.25623748;0.27598405;0.43380153
Sample_RSS_RS_2_1__1;0.20738095;0.20507693;0.026466059;0.049747832;26.798933;26.887634;36.148293;31.919876;0.7668451;0.7688998;0.97940546;0.9505187;0.9379746;0.9846539;0.15055165;0.40815657;0.26216653;0.25707418;0.27541977;0.4332658
Sample_RSS_RS_2_1__2;0.1898477;0.1881025;0.026028877;0.050067164;27.20358;27.294373;36.21652;32.02314;0.7803157;0.784474;0.97989297;0.9514499;0.2052019;0.23643027;0.14131698;0.34873897;0.2641527;0.26164663;0.27878344;0.43505663
Sample_RSS_RS_2_1__3;0.1856455;0.1839717;0.026444376;0.050736643;27.326511;27.42102;36.25593;32.03079;0.7843039;0.78804964;0.9800804;0.9516897;0.19014625;0.16045055;0.1317603;0.3442559;0.25864822;0.25497854;0.28025955;0.43611118
Sample_RSS_RS_2_1__4;0.18398683;0.18247408;0.026726969;0.051256947;27.40708;27.500038;36.244602;32.029;0.78742987;0.79110473;0.9801591;0.9516189;0.30436003;0.24987215;0.13406226;0.3311362;0.25829402;0.25453517;0.28191525;0.43714145
Sample_RSS_RS_2_1__5;0.18437603;0.18315575;0.026665036;0.051123448;27.381552;27.470762;36.237595;32.014374;0.7864054;0.7898396;0.98006797;0.9515182;0.25992653;0.20531724;0.13326988;0.33748215;0.25672936;0.2527908;0.28186908;0.43730363
Sample_RSS_RS_2_1__6;0.18477143;0.18329597;0.026594538;0.051144704;27.38232;27.474287;36.24154;32.03095;0.7865736;0.79048693;0.9801075;0.9516543;0.26362228;0.20811935;0.13503255;0.33478832;0.25938046;0.25580424;0.2820439;0.43706003
Sample_RSS_RS_2_1__7;0.18420595;0.18269084;0.026553662;0.051114634;27.39084;27.483702;36.252182;32.022903;0.78664595;0.79035187;0.9801047;0.9516018;0.27191693;0.2223581;0.13182041;0.33368358;0.25803605;0.2542873;0.2816952;0.43671018
Sample_RSS_RS_2_1__8;0.18402937;0.18250805;0.026755586;0.05128076;27.408419;27.50118;36.245667;32.022068;0.7875258;0.7911569;0.9801595;0.9515929;0.30857277;0.2539182;0.13509919;0.32941797;0.25834185;0.25415534;0.28203413;0.43712455
Sample_RSS_RS_2_1__9;0.1840554;0.18275481;0.026686745;0.051212635;27.400187;27.49092;36.241898;32.019596;0.7871704;0.790644;0.98008573;0.9515424;0.2908991;0.2313254;0.13410169;0.33080542;0.25752473;0.253286;0.28222537;0.43740728
Sample_RSS_RS_2_1__10;0.18439642;0.1829152;0.026621826;0.051228687;27.39751;27.489735;36.243423;32.02669;0.78716546;0.79084337;0.98011804;0.9516283;0.28637245;0.2326179;0.1357966;0.33253643;0.25893795;0.25509712;0.2820552;0.4371377
